AccountID|CustomerID|LoanID|PostedTransactionID|ReversalTransactionID|TransactionReversalFlag|AmountAppliedToLoan|PrincipalPaymentApplied|FeePaymentApplied|FeeApplied|PaymentApplied|AdvanceApplied|PrincipalAmountAppliedToLoan|FeeAmountAppliedToLoan|NSFFeeAmountAppliedToLoan|LateFeeAmountAppliedToLoan|AmountAppliedToOtherFees|InterestAmountAppliedToLoan|TransactionAmount|TransactionCode
385030|200812202114|262913|343270602|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
385030|200812202114|262913|343270786|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
385570|2402202113|262914|343270600|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
385570|2402202113|262914|343270855|0|False|-947.34|-833.34|-14.00|.00|-947.34|.00|-833.34|-14.00|.00|.00|-100.00|.00|-947.34|8505
388727|2402202111|262915|343270599|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
388727|2402202111|262915|343270923|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
389045|2402202110|262916|343270601|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
389045|2402202110|262916|343270963|0|False|-947.34|-833.34|-14.00|.00|-947.34|.00|-833.34|-14.00|.00|.00|-100.00|.00|-947.34|8505
389046|2402202109|262917|343270683|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
389046|2402202109|262917|343271000|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
390212|2402202108|262918|343270686|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
390212|2402202108|262918|343271036|0|False|-947.34|-833.34|-14.00|.00|-947.34|.00|-833.34|-14.00|.00|.00|-100.00|.00|-947.34|8505
390757|2402202107|262919|343270684|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
390757|2402202107|262919|343271073|0|False|-947.34|-833.34|-14.00|.00|-947.34|.00|-833.34|-14.00|.00|.00|-100.00|.00|-947.34|8505
391227|2402202105|262920|343270685|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
391227|2402202105|262920|343271110|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
391241|2402202104|262921|343270767|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
391241|2402202104|262921|343271146|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
391951|2402202103|262922|343270769|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
391951|2402202103|262922|343271182|0|False|-947.34|-833.34|-14.00|.00|-947.34|.00|-833.34|-14.00|.00|.00|-100.00|.00|-947.34|8505
392068|200812202102|262923|343270768|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
392068|200812202102|262923|343271219|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
1001063074|2402202101|262924|343270770|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
1001063074|2402202101|262924|343271255|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
385570|2402202113|262931|343270827|0|False|15000.00|.00|.00|.00|.00|15000.00|15000.00|.00|.00|.00|.00|.00|15000.00|8625
385570|2402202113|262931|343270835|0|False|150.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|150.00|.00|150.00|8714
385570|2402202113|262931|343270836|0|False|21.00|.00|.00|21.00|.00|.00|.00|21.00|.00|.00|.00|.00|21.00|8590
388727|2402202111|262932|343270896|0|False|15000.00|.00|.00|.00|.00|15000.00|15000.00|.00|.00|.00|.00|.00|15000.00|8625
388727|2402202111|262932|343270904|0|False|21.00|.00|.00|21.00|.00|.00|.00|21.00|.00|.00|.00|.00|21.00|8590
